City_ID,City,Country,Max Temp,Weather Dsc,Lat,Lng,Hotel Name
3,Jumla,NP,51.89,overcast clouds,29.2747,82.1838,Royal Garden Hotel
4,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
5,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
6,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
8,Nouakchott,MR,73.33,clear sky,18.0858,-15.9785,HOTEL IMAN
9,Camacupa,AO,60.53,light rain,-12.0167,17.4833,
11,Sao Filipe,CV,74.97,overcast clouds,14.8961,-24.4956,Hotel Xaguate
12,Saldanha,ZA,59.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
13,Raudeberg,NO,53.87,overcast clouds,61.9875,5.1352,Nordre Silda.
15,Los Llanos De Aridane,ES,73.13,clear sky,28.6585,-17.9182,Valle Aridane
16,Bredasdorp,ZA,58.55,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
17,Urucara,BR,83.1,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
19,Arklow,IE,50.07,overcast clouds,52.7931,-6.1414,"Arklow Bay Conference, Leisure & Spa Hotel"
20,East London,ZA,64.22,overcast clouds,-33.0153,27.9116,Tu Casa
21,Kruisfontein,ZA,65.55,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
22,Omboue,GA,74.68,overcast clouds,-1.5746,9.2618,Hotel Olako
23,Hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
24,Suez,EG,63.45,clear sky,29.9737,32.5263,Green House
25,Cape Town,ZA,61.12,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
26,Bari,IT,56.86,overcast clouds,41.1177,16.8512,Mercure Villa Romanazzi Carducci Bari
27,Punta Arenas,CL,50.11,scattered clouds,-53.15,-70.9167,Hotel Hain
28,Sambava,MG,71.64,clear sky,-14.2667,50.1667,Melrose
29,Port Alfred,ZA,63.18,scattered clouds,-33.5906,26.891,The Halyards Hotel & Spa
31,Bengkulu,ID,82.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
32,Adeje,ES,74.57,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
33,Hithadhoo,MV,81.54,broken clouds,-0.6,73.0833,Scoop Guest House
34,Vietri Sul Mare,IT,58.37,overcast clouds,40.6687,14.7253,Hotel Raito Amalfi Coast
36,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,Le four à pain
38,Qom,IR,52.52,clear sky,34.6401,50.8764,Qom Hotel
39,Inhambane,MZ,69.49,clear sky,-23.865,35.3833,Oceano
40,Praia Da Vitoria,PT,61.05,broken clouds,38.7333,-27.0667,Hotel Branco I
41,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
42,Mar Del Plata,AR,60.1,light intensity drizzle,-38.0023,-57.5575,Gran Hotel Mar del Plata
43,Arraial Do Cabo,BR,73.49,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
44,Ashdod,IL,67.48,scattered clouds,31.8167,34.65,West All Suite Hotel Ashdod - מלון ווסט אשדוד
45,Busselton,AU,69.15,clear sky,-33.65,115.3333,Observatory Guest House
46,Port Elizabeth,ZA,62.89,clear sky,-33.918,25.5701,39 On Nile Guest House
47,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
51,Sable-Sur-Sarthe,FR,52.99,overcast clouds,47.8376,-0.3329,Hôtel 3 étoiles Campanile de SABLE SUR SARTHE - VION
52,Lima Duarte,BR,66.81,overcast clouds,-21.8425,-43.7931,Gabvini Hotel!
54,Ribeira Grande,PT,60.78,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
56,Port-Gentil,GA,78.53,light rain,-0.7193,8.7815,Fengshui Residence
57,Chanika,TZ,69.03,overcast clouds,-5.4167,38.0167,New Rombo Green Hotel
58,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
60,Gunupur,IN,70.43,clear sky,19.0833,83.8167,Sree Satya Residency
