City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Dsc
0,Escanaba,US,45.7453,-87.0646,32.31,96,100,5.75,mist
1,Taby,SE,59.4439,18.0687,42.58,93,100,8.05,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,46.06,87,0,4.61,clear sky
3,Jumla,NP,29.2747,82.1838,51.89,47,93,2.1,overcast clouds
4,Hambantota,LK,6.1241,81.1185,77.34,100,75,1.14,broken clouds
5,Bathsheba,BB,13.2167,-59.5167,79.41,89,75,27.63,broken clouds
6,Georgetown,MY,5.4112,100.3354,80.53,93,20,3.44,few clouds
7,Malaryta,BY,51.7905,24.074,39.61,93,100,5.44,overcast clouds
8,Nouakchott,MR,18.0858,-15.9785,73.33,60,0,12.77,clear sky
9,Camacupa,AO,-12.0167,17.4833,60.53,94,100,1.25,light rain
10,Norrtalje,SE,59.758,18.705,42.03,89,66,8.88,broken clouds
11,Sao Filipe,CV,14.8961,-24.4956,74.97,74,100,11.45,overcast clouds
12,Saldanha,ZA,-33.0117,17.9442,59.05,87,8,6.67,clear sky
13,Raudeberg,NO,61.9875,5.1352,53.87,65,100,7.2,overcast clouds
14,Lebedyn,UA,50.5852,34.4849,30.34,72,8,3.56,clear sky
15,Los Llanos De Aridane,ES,28.6585,-17.9182,73.13,29,0,8.05,clear sky
16,Bredasdorp,ZA,-34.5322,20.0403,58.55,72,35,9.33,scattered clouds
17,Urucara,BR,-2.5364,-57.76,83.1,60,58,2.24,broken clouds
18,Milyutinskaya,RU,48.6279,41.6679,26.22,77,3,6.44,clear sky
19,Arklow,IE,52.7931,-6.1414,50.07,86,100,19.37,overcast clouds
20,East London,ZA,-33.0153,27.9116,64.22,80,95,19.26,overcast clouds
21,Kruisfontein,ZA,-34.0033,24.7314,65.55,55,84,9.75,broken clouds
22,Omboue,GA,-1.5746,9.2618,74.68,92,98,6.06,overcast clouds
23,Hermanus,ZA,-34.4187,19.2345,61.81,84,0,12.33,clear sky
24,Suez,EG,29.9737,32.5263,63.45,67,0,9.04,clear sky
25,Cape Town,ZA,-33.9258,18.4232,61.12,81,20,2.3,few clouds
26,Bari,IT,41.1177,16.8512,56.86,82,100,7.92,overcast clouds
27,Punta Arenas,CL,-53.15,-70.9167,50.11,81,40,17.27,scattered clouds
28,Sambava,MG,-14.2667,50.1667,71.64,84,9,4.12,clear sky
29,Port Alfred,ZA,-33.5906,26.891,63.18,86,39,1.99,scattered clouds
30,Kirkland Lake,CA,48.1446,-80.0377,21.04,92,43,5.73,scattered clouds
31,Bengkulu,ID,-3.8004,102.2655,82.18,68,96,8.08,overcast clouds
32,Adeje,ES,28.1227,-16.726,74.57,39,0,9.22,clear sky
33,Hithadhoo,MV,-0.6,73.0833,81.54,77,76,14.32,broken clouds
34,Vietri Sul Mare,IT,40.6687,14.7253,58.37,94,98,1.01,overcast clouds
35,Lelesti,RO,45.1,23.2,40.32,86,20,0.65,few clouds
36,Saint-Philippe,RE,-21.3585,55.7679,72.99,72,43,14.32,scattered clouds
37,Lakselv,NO,70.0513,24.9718,37.22,70,40,12.66,scattered clouds
38,Qom,IR,34.6401,50.8764,52.52,30,1,5.75,clear sky
39,Inhambane,MZ,-23.865,35.3833,69.49,76,9,9.24,clear sky
40,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,88,75,10.27,broken clouds
41,Bambous Virieux,MU,-20.3428,57.7575,72.21,60,75,9.22,broken clouds
42,Mar Del Plata,AR,-38.0023,-57.5575,60.1,97,100,16.11,light intensity drizzle
43,Arraial Do Cabo,BR,-22.9661,-42.0278,73.49,95,100,27.67,overcast clouds
44,Ashdod,IL,31.8167,34.65,67.48,82,44,7.43,scattered clouds
45,Busselton,AU,-33.65,115.3333,69.15,42,0,6.31,clear sky
46,Port Elizabeth,ZA,-33.918,25.5701,62.89,88,0,10.36,clear sky
47,Salalah,OM,17.0151,54.0924,71.69,56,0,2.3,clear sky
48,Upernavik,GL,72.7868,-56.1549,23.16,91,100,15.68,light snow
49,Segezha,RU,63.7415,34.3222,32.79,98,100,5.28,overcast clouds
50,Burgeo,CA,47.6167,-57.6152,39.96,79,100,36.89,overcast clouds
51,Sable-Sur-Sarthe,FR,47.8376,-0.3329,52.99,82,100,13.65,overcast clouds
52,Lima Duarte,BR,-21.8425,-43.7931,66.81,98,100,2.77,overcast clouds
53,Molochnoye,RU,59.2917,39.6787,26.35,80,16,5.66,few clouds
54,Ribeira Grande,PT,38.5167,-28.7,60.78,85,36,7.0,scattered clouds
55,Saint-Augustin,CA,51.226,-58.6502,28.24,79,96,16.69,overcast clouds
56,Port-Gentil,GA,-0.7193,8.7815,78.53,85,100,11.81,light rain
57,Chanika,TZ,-5.4167,38.0167,69.03,89,97,1.99,overcast clouds
58,Porto Novo,BJ,6.4965,2.6036,82.22,86,35,3.36,scattered clouds
59,Ilulissat,GL,69.2167,-51.1,30.22,80,100,16.11,light snow
60,Gunupur,IN,19.0833,83.8167,70.43,63,0,3.78,clear sky
61,Mahebourg,MU,-20.4081,57.7,72.25,60,75,9.22,broken clouds
62,Jamestown,US,42.097,-79.2353,35.19,91,100,3.44,overcast clouds
63,Pangnirtung,CA,66.1451,-65.7125,4.8,95,100,2.77,overcast clouds
64,Urubicha,BO,-15.3833,-62.95,69.58,99,96,2.26,overcast clouds
65,Borovoy,RU,55.4333,86.0833,38.48,87,75,13.42,broken clouds
66,Kirishi,RU,59.4471,32.0205,33.37,97,100,7.49,light snow
67,Bosaso,SO,11.2842,49.1816,74.41,75,0,1.57,clear sky
68,Tessaoua,NE,13.7574,7.9874,67.23,21,80,9.86,broken clouds
69,Tasiilaq,GL,65.6145,-37.6368,33.96,95,100,5.08,light snow
